seq_name	mock_sanger	sum taxonomy
KU900218.1_extraction	1	Chlorophyta;Trebouxiophyceae;Microthamniales;NA;Asterochloris;
KU900219.1_extraction	1	Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;
KU900220.1_extraction	1	NA;;;;;
KU900221.1_extraction	1	Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis oculata
KU900222.1_extraction	1	NA;NA;;;;
KU900223.1_extraction	1	NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;
KU900224.1_extraction	1	Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;;
KU900225.1_extraction	1	Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;;
KU900226.1_extraction	1	NA;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;
KU900227.1_extraction	1	NA;NA;Isochrysidales;Isochrysidaceae;Isochrysis;
KU900228.1_extraction	1	NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;
KU900229.1_extraction	1	NA;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;
